section,metric,value
box_level,tp,990
box_level,tn,0
box_level,fp,1553
box_level,fn,902
box_level,accuracy,0.28737300435413643
box_level,precision,0.3893039716869839
box_level,recall,0.5232558139534884
box_level,specificity,0.0
box_level,f1,0.4464487034949267
box_level,youden_j,-0.4767441860465116
image_level,tp,981
image_level,tn,3382
image_level,fp,752
image_level,fn,221
image_level,accuracy,0.8176536731634183
image_level,precision,0.566070398153491
image_level,recall,0.8161397670549085
image_level,specificity,0.8180938558297048
image_level,f1,0.6684838160136286
image_level,youden_j,0.6342336228846133
global,tau,0.37
global,visualization_threshold,0.37
global,mean_predictions_per_image,0.47657421289355323
global,mean_best_matched_iou,0.6764317186673565
